Sex,Diet,Transport,Vehicle Monthly Distance Km,CarbonEmission
female,pescatarian,walk/bicycle,18,1271
male,vegan,public,1958,1603
female,pescatarian,walk/bicycle,74,1760
female,omnivore,walk/bicycle,36,2881
male,pescatarian,walk/bicycle,24,1939
male,pescatarian,walk/bicycle,77,2118
male,vegan,public,1402,1980
male,pescatarian,private,3051,1818
female,omnivore,public,201,1632
male,omnivore,public,1274,1764
female,omnivore,walk/bicycle,95,1089
female,vegetarian,walk/bicycle,32,1753
male,omnivore,public,481,3244
male,omnivore,private,4431,3187
female,pescatarian,private,8288,3942
female,vegetarian,walk/bicycle,74,2502
male,vegetarian,walk/bicycle,12,1648
male,vegetarian,public,689,1617
female,vegetarian,public,1915,776
male,vegetarian,public,577,524
male,omnivore,private,4673,4144
male,vegan,public,272,2478
female,omnivore,private,3361,2619
female,vegetarian,walk/bicycle,15,1951
female,pescatarian,private,6754,1356
female,vegan,private,5485,3449
female,vegetarian,walk/bicycle,58,2336
female,omnivore,public,1160,1713
male,omnivore,public,1497,2055
male,pescatarian,walk/bicycle,70,1113
male,vegetarian,private,2750,4377
male,pescatarian,private,5220,2639
female,omnivore,private,987,1612
female,vegetarian,private,1312,3636
male,omnivore,walk/bicycle,11,2240
female,pescatarian,public,996,1348
male,vegetarian,walk/bicycle,75,1431
male,pescatarian,public,8,892
male,vegan,public,1047,3112
male,vegetarian,public,1433,2865
female,vegan,private,242,1907
female,omnivore,private,9598,5677
male,omnivore,public,1735,1272
male,pescatarian,private,867,1459
male,vegetarian,public,1091,3171
male,vegan,private,9169,3357
female,omnivore,private,5286,4313
female,vegan,public,447,1762
female,omnivore,public,189,2108
male,vegan,public,89,874
male,omnivore,private,9025,4571
female,vegan,private,6946,3936
male,vegetarian,private,4007,4129
female,vegetarian,walk/bicycle,35,1717
female,pescatarian,private,2763,1895
male,vegetarian,private,9300,5635
male,pescatarian,walk/bicycle,67,1306
female,vegetarian,private,2555,1790
male,vegetarian,public,165,1772
male,vegetarian,walk/bicycle,53,1305
female,vegetarian,walk/bicycle,52,901
male,pescatarian,private,8728,4179
female,vegetarian,private,9686,6185
female,omnivore,walk/bicycle,51,460
female,vegetarian,walk/bicycle,4,1165
male,omnivore,private,6041,2186
female,vegetarian,private,792,2701
male,pescatarian,private,6179,5037
female,vegan,private,6458,1726
male,omnivore,private,3657,796
male,vegan,walk/bicycle,25,1382
female,vegan,private,5201,3161
female,vegetarian,public,1110,1206
male,pescatarian,private,1354,2179
female,vegetarian,walk/bicycle,94,927
male,pescatarian,public,1617,1427
female,vegan,walk/bicycle,69,1310
female,vegetarian,private,9580,5229
female,vegan,private,1969,2851
female,pescatarian,private,2877,2210
female,omnivore,private,9486,5302
female,omnivore,private,6031,3157
male,omnivore,walk/bicycle,84,1948
female,vegan,private,2772,2028
female,vegan,public,1360,1727
male,pescatarian,public,784,2175
female,vegetarian,private,615,762
female,vegetarian,public,693,2126
male,omnivore,public,291,1680
female,vegan,private,943,2644
female,pescatarian,walk/bicycle,73,1809
female,pescatarian,public,70,1481
female,pescatarian,private,5196,2520
female,vegetarian,public,403,2051
male,vegan,walk/bicycle,7,1632
male,vegan,private,1078,2990
female,vegan,public,1550,2757
female,vegan,public,1610,3378
female,pescatarian,public,730,942
male,omnivore,public,1779,1334
male,pescatarian,walk/bicycle,51,2423
male,vegan,private,4490,3225
male,pescatarian,private,1283,2675
female,omnivore,private,8521,4796
female,omnivore,public,1849,2274
male,omnivore,walk/bicycle,58,3053
female,pescatarian,private,1896,2345
male,vegetarian,public,1932,2922
female,vegetarian,public,1527,1789
male,vegetarian,private,4688,3366
female,vegetarian,private,6843,4929
female,pescatarian,private,215,1989
female,pescatarian,walk/bicycle,39,922
male,omnivore,public,772,2605
male,omnivore,walk/bicycle,40,2148
female,vegetarian,private,7618,2290
male,omnivore,walk/bicycle,72,1857
male,vegan,public,1951,1831
male,omnivore,walk/bicycle,10,1276
male,vegan,walk/bicycle,29,1236
male,vegan,private,4791,2403
male,pescatarian,public,1515,1913
male,omnivore,walk/bicycle,56,2164
male,pescatarian,public,1682,2150
male,pescatarian,walk/bicycle,70,1488
female,vegan,private,8537,3373
female,vegan,private,8666,3584
male,vegan,walk/bicycle,64,1936
male,pescatarian,walk/bicycle,45,2636
female,vegetarian,public,278,1560
female,omnivore,public,1410,2080
male,vegan,public,1203,1315
male,omnivore,public,769,2032
male,omnivore,private,9331,3168
male,vegetarian,private,7981,3984
female,vegan,public,564,1666
female,pescatarian,walk/bicycle,34,1005
male,pescatarian,private,6585,4342
male,vegan,walk/bicycle,47,1985
female,vegetarian,public,1335,1495
female,vegetarian,public,1954,1623
female,omnivore,private,6179,2578
female,omnivore,private,8098,3942
male,pescatarian,walk/bicycle,27,1670
female,vegan,private,5877,4141
female,omnivore,public,1582,1222
female,vegetarian,private,7686,4648
female,omnivore,walk/bicycle,62,1663
male,vegan,public,764,1580
male,pescatarian,walk/bicycle,63,3504
female,omnivore,public,1361,2588
male,pescatarian,private,4547,2871
male,pescatarian,walk/bicycle,97,3571
male,vegan,public,1346,1267
female,pescatarian,private,1669,2161
female,pescatarian,walk/bicycle,18,2558
female,vegetarian,walk/bicycle,11,306
male,vegan,private,887,3829
female,omnivore,public,834,1610
male,vegetarian,private,3106,2956
male,vegan,private,2052,3907
female,vegan,public,360,2425
female,vegan,private,7023,4000
female,pescatarian,walk/bicycle,25,1204
male,pescatarian,private,1481,2637
male,omnivore,private,2484,1733
female,omnivore,public,1762,1857
male,omnivore,walk/bicycle,27,2564
female,pescatarian,walk/bicycle,16,1892
male,pescatarian,walk/bicycle,26,1881
male,vegan,private,6020,6094
female,vegetarian,public,1395,2238
male,vegan,walk/bicycle,61,3833
female,pescatarian,walk/bicycle,75,1481
female,vegan,public,1365,2469
male,pescatarian,private,8299,3469
female,pescatarian,public,1062,749
female,pescatarian,walk/bicycle,45,1821
male,omnivore,public,316,1164
female,vegetarian,public,1829,1555
female,vegetarian,walk/bicycle,12,2322
male,pescatarian,walk/bicycle,38,2378
male,vegetarian,private,4439,1926
female,omnivore,private,7904,2665
male,pescatarian,public,1535,2510
female,pescatarian,walk/bicycle,28,1837
male,vegan,walk/bicycle,11,1437
male,omnivore,walk/bicycle,56,2563
male,omnivore,public,1844,2345
female,pescatarian,public,1131,1805
male,vegan,public,145,1643
male,vegetarian,public,672,2196
male,vegan,private,1637,2443
female,vegan,private,6893,1699
male,omnivore,private,66,2145
male,vegan,public,1734,1632
female,vegetarian,walk/bicycle,38,2035
male,vegan,private,4733,4263
female,pescatarian,walk/bicycle,33,2926
female,vegetarian,public,2,2052
female,omnivore,public,670,833
male,omnivore,public,1370,2014
female,vegetarian,private,550,2475
male,vegan,walk/bicycle,75,1822
male,vegetarian,public,31,2967
male,vegan,private,5868,3098
female,vegan,private,9219,893
female,vegan,public,330,1456
female,pescatarian,walk/bicycle,85,2028
female,vegetarian,private,2267,2662
female,pescatarian,public,1713,1190
female,pescatarian,walk/bicycle,81,2197
male,vegan,private,5165,2534
female,pescatarian,private,7189,5158
female,omnivore,walk/bicycle,88,1518
male,vegan,public,348,1376
male,vegan,private,8108,4202
female,vegetarian,private,5349,3693
male,vegetarian,walk/bicycle,52,1611
male,pescatarian,private,8930,4814
male,vegan,walk/bicycle,10,1151
male,pescatarian,private,8712,3392
female,pescatarian,private,3422,4080
male,pescatarian,public,1798,2158
female,omnivore,private,6028,3758
female,vegan,walk/bicycle,2,1865
female,pescatarian,public,427,2325
female,pescatarian,walk/bicycle,34,1930
male,omnivore,walk/bicycle,65,1910
female,vegetarian,private,8609,2779
female,vegan,public,164,1739
male,vegan,walk/bicycle,43,910
male,vegetarian,public,1449,1467
male,omnivore,public,1849,2344
male,pescatarian,public,1921,1344
male,pescatarian,private,454,1851
female,omnivore,walk/bicycle,0,2700
female,vegetarian,private,2752,1694
male,vegetarian,public,1065,2112
male,omnivore,public,749,2098
male,vegetarian,walk/bicycle,58,2775
female,vegetarian,private,1071,1786
male,pescatarian,walk/bicycle,30,2437
female,omnivore,private,7031,2780
male,vegetarian,private,4298,3006
female,vegan,private,7618,3114
female,vegetarian,private,8301,3727
male,pescatarian,public,1882,1302
female,vegetarian,public,207,2556
female,vegan,public,671,1956
female,pescatarian,walk/bicycle,46,734
female,omnivore,walk/bicycle,66,2413
female,vegan,private,7523,4124
female,omnivore,walk/bicycle,51,2759
female,vegan,walk/bicycle,96,1667
female,pescatarian,private,7757,2988
female,vegetarian,walk/bicycle,79,1690
female,omnivore,private,3748,3791
female,vegetarian,private,3148,3630
female,vegetarian,private,5151,3341
male,omnivore,walk/bicycle,84,2903
male,pescatarian,private,8585,3942
male,vegetarian,public,1113,2066
female,vegetarian,public,1238,2527
male,vegan,private,7677,2551
male,vegetarian,public,1176,1954
male,vegan,walk/bicycle,22,1451
female,vegan,public,1797,992
female,vegetarian,private,2456,1710
male,vegan,private,3229,4352
female,vegan,private,3294,2062
female,vegan,private,5409,1886
female,vegetarian,public,561,2321
female,vegetarian,private,9427,3781
male,vegetarian,private,131,1227
female,pescatarian,walk/bicycle,34,1481
female,omnivore,walk/bicycle,93,1325
female,vegan,private,8843,1945
male,vegan,private,556,2812
female,vegetarian,public,1733,2213
male,pescatarian,public,49,1287
female,pescatarian,walk/bicycle,60,2603
female,vegetarian,public,284,2394
female,vegan,public,446,2292
female,vegetarian,private,5956,1707
male,pescatarian,walk/bicycle,17,2757
female,omnivore,public,863,955
male,omnivore,public,596,1684
male,omnivore,private,3325,3149
male,omnivore,public,235,1806
female,vegan,public,1952,782
female,pescatarian,public,1963,2485
male,vegetarian,private,3055,3412
male,vegetarian,private,8077,3509
male,vegetarian,private,2077,2626
male,vegan,private,5043,2268
female,omnivore,walk/bicycle,69,1642
male,vegan,private,7179,3821
female,omnivore,private,7186,3508
male,vegan,public,127,2229
male,vegan,walk/bicycle,79,2221
male,pescatarian,public,1649,1358
female,vegetarian,private,7486,4359
male,omnivore,private,3604,1824
male,pescatarian,private,5037,2946
male,vegetarian,private,4071,2195
female,vegan,private,7430,3284
male,omnivore,walk/bicycle,7,1246
female,vegetarian,walk/bicycle,14,1780
female,vegan,walk/bicycle,20,1551
male,vegetarian,public,1283,2809
male,vegan,walk/bicycle,92,2269
female,vegan,private,4989,2642
male,omnivore,walk/bicycle,18,2009
male,vegetarian,walk/bicycle,54,2168
male,vegan,public,506,3114
male,pescatarian,walk/bicycle,52,1736
male,omnivore,public,559,1180
male,vegetarian,public,1230,1107
male,pescatarian,public,737,2919
male,omnivore,public,550,2539
male,vegan,walk/bicycle,71,3244
male,omnivore,private,2041,1804
female,vegan,public,68,881
male,vegan,public,677,2857
male,omnivore,private,2212,3319
male,pescatarian,walk/bicycle,39,926
male,pescatarian,private,3368,2042
male,vegetarian,public,1219,1920
male,vegan,private,3757,2451
male,pescatarian,public,552,2196
male,pescatarian,walk/bicycle,2,2929
male,vegan,private,5134,2714
male,pescatarian,private,1230,3088
female,pescatarian,public,377,895
female,vegetarian,private,1630,3231
female,pescatarian,private,3900,2312
male,vegetarian,public,165,1743
female,omnivore,public,1100,1741
male,vegan,walk/bicycle,37,3309
female,pescatarian,public,1215,1177
female,vegetarian,walk/bicycle,8,1631
male,omnivore,public,302,2524
male,omnivore,public,1343,2167
female,pescatarian,private,9671,4922
female,vegan,private,6465,2328
male,vegetarian,public,647,940
female,vegetarian,private,421,1146
male,vegan,walk/bicycle,50,3287
female,vegan,walk/bicycle,16,1835
male,vegetarian,private,4276,3197
male,omnivore,private,2218,1984
female,vegetarian,private,6994,2079
male,vegetarian,private,6883,3122
female,vegetarian,private,4737,2545
male,vegetarian,walk/bicycle,43,2620
female,vegetarian,private,5027,1799
female,vegetarian,private,5330,2813
female,pescatarian,private,7390,3040
female,omnivore,public,1586,1327
male,omnivore,public,224,2752
male,vegetarian,private,2929,2211
female,pescatarian,walk/bicycle,81,1589
male,vegan,walk/bicycle,61,2905
female,omnivore,private,546,2594
female,vegetarian,public,1560,1515
male,omnivore,public,560,2281
female,omnivore,walk/bicycle,93,2003
female,pescatarian,walk/bicycle,39,1163
female,vegan,private,9745,4556
female,vegetarian,walk/bicycle,74,1417
male,vegan,public,1846,899
male,vegetarian,public,706,1221
female,pescatarian,walk/bicycle,21,2186
female,vegetarian,public,103,1538
male,vegetarian,walk/bicycle,52,2502
male,omnivore,private,8797,1059
female,omnivore,walk/bicycle,47,820
female,vegan,public,1967,1348
male,vegan,private,9980,5663
female,pescatarian,public,1232,904
male,vegan,walk/bicycle,51,3046
female,vegan,private,3192,2248
female,pescatarian,walk/bicycle,24,2436
male,vegan,walk/bicycle,50,3172
male,vegan,private,798,2401
male,vegetarian,public,409,1224
female,vegetarian,private,2389,1480
female,omnivore,private,9773,4307
male,omnivore,public,1328,1638
female,vegetarian,public,1478,1110
male,pescatarian,public,1308,2449
male,omnivore,private,3310,3881
female,omnivore,walk/bicycle,75,1576
female,vegetarian,public,1774,980
male,vegetarian,private,2910,2708
female,vegetarian,walk/bicycle,98,909
male,omnivore,walk/bicycle,13,3690
female,vegan,public,1098,2416
female,vegan,walk/bicycle,0,1276
female,vegetarian,public,854,1499
male,pescatarian,walk/bicycle,85,3069
male,omnivore,walk/bicycle,89,2696
female,vegetarian,private,7715,3432
female,omnivore,walk/bicycle,59,763
female,pescatarian,walk/bicycle,51,1531
female,omnivore,private,2553,3050
male,pescatarian,walk/bicycle,65,1988
female,pescatarian,public,274,1852
female,pescatarian,walk/bicycle,50,2296
female,vegan,public,219,1757
female,pescatarian,private,6510,2744
male,pescatarian,walk/bicycle,18,1985
male,vegetarian,public,1118,1275
female,omnivore,public,1095,1586
male,omnivore,walk/bicycle,23,1681
male,vegan,walk/bicycle,83,2230
male,pescatarian,walk/bicycle,20,3099
male,pescatarian,private,7285,1757
female,pescatarian,public,405,1532
male,pescatarian,private,6743,4416
male,vegan,walk/bicycle,8,1701
male,pescatarian,walk/bicycle,41,4194
male,pescatarian,public,1059,1634
female,pescatarian,walk/bicycle,49,1329
male,vegetarian,walk/bicycle,26,2901
male,pescatarian,public,1345,2536
male,vegetarian,walk/bicycle,93,3100
female,omnivore,walk/bicycle,0,2180
male,omnivore,walk/bicycle,63,1629
male,vegan,walk/bicycle,44,1493
female,pescatarian,private,1025,1543
female,vegetarian,public,265,1389
male,omnivore,walk/bicycle,59,2118
female,vegetarian,walk/bicycle,60,2288
female,pescatarian,public,1906,2167
female,omnivore,private,6798,2055
male,vegan,public,996,2618
female,pescatarian,private,3002,3468
male,omnivore,walk/bicycle,34,1515
male,vegetarian,public,29,2747
male,pescatarian,public,525,1261
male,pescatarian,private,1298,2690
male,pescatarian,private,8881,4323
male,pescatarian,public,567,2978
female,omnivore,public,673,1463
male,vegan,walk/bicycle,9,2181
female,omnivore,public,970,1951
female,omnivore,public,541,3080
male,pescatarian,private,49,2363
female,vegan,walk/bicycle,51,1408
female,vegan,walk/bicycle,80,1550
female,pescatarian,private,8741,4562
male,omnivore,public,1863,3415
male,pescatarian,walk/bicycle,99,3114
female,pescatarian,walk/bicycle,23,2668
male,omnivore,public,159,1242
male,vegetarian,public,287,2358
male,pescatarian,public,1539,3401
female,pescatarian,private,9828,4490
female,vegan,private,3457,1859
female,omnivore,public,1792,1057
male,pescatarian,private,7934,4631
female,pescatarian,public,1312,1065
male,vegetarian,walk/bicycle,33,1094
female,vegan,private,9242,3085
female,vegan,walk/bicycle,75,2542
female,vegan,private,9704,2969
male,vegetarian,public,1204,1320
female,omnivore,walk/bicycle,37,2155
female,omnivore,private,7988,3641
male,pescatarian,public,882,3199
male,vegetarian,private,3194,2796
male,omnivore,walk/bicycle,79,2654
female,vegetarian,public,675,1236
male,vegetarian,walk/bicycle,85,2233
male,vegetarian,public,648,2708
female,vegetarian,public,718,1184
female,vegan,public,393,1099
male,vegetarian,public,270,1526
female,pescatarian,public,1638,1870
female,omnivore,walk/bicycle,35,1833
male,vegan,public,1423,3516
male,vegetarian,public,435,2333
male,omnivore,walk/bicycle,25,2718
male,vegetarian,public,1950,1916
male,vegetarian,private,3654,2637
male,pescatarian,walk/bicycle,74,1126
female,pescatarian,walk/bicycle,72,1066
male,vegetarian,walk/bicycle,57,1855
male,pescatarian,private,370,2258
female,omnivore,walk/bicycle,70,1385
male,omnivore,private,8001,3201
female,vegetarian,walk/bicycle,22,2771
female,pescatarian,public,520,1331
male,omnivore,private,8876,2608
male,vegan,walk/bicycle,44,1414
female,vegetarian,public,402,2339
male,omnivore,public,1679,2783
female,pescatarian,private,7440,4039
male,vegetarian,private,678,3036
male,vegan,public,1319,1645
female,pescatarian,walk/bicycle,15,1553
male,pescatarian,walk/bicycle,6,2789
female,vegan,walk/bicycle,35,1023
female,vegetarian,private,6683,3624
male,vegetarian,walk/bicycle,36,2561
female,pescatarian,private,4195,2855
male,pescatarian,walk/bicycle,21,2267
female,vegetarian,public,1798,994
female,vegan,private,4562,3571
female,omnivore,public,1006,1789
male,vegan,walk/bicycle,77,2170
female,vegan,private,4428,2751
female,vegan,public,1630,1470
female,omnivore,private,9282,3199
male,pescatarian,private,7025,3443
female,pescatarian,walk/bicycle,1,3238
male,vegan,private,5321,2598
female,vegetarian,private,7423,1479
male,vegan,walk/bicycle,55,977
male,vegan,public,87,1589
female,vegetarian,private,4373,1184
female,omnivore,private,7576,2514
female,omnivore,walk/bicycle,5,2056
male,pescatarian,walk/bicycle,76,2546
male,vegetarian,private,2468,2334
male,omnivore,private,8542,4131
female,vegan,walk/bicycle,53,1857
female,pescatarian,private,9970,2127
female,vegan,public,118,1738
female,omnivore,private,6040,2779
male,vegetarian,public,1202,4219
male,omnivore,private,1943,2966
male,vegan,walk/bicycle,95,1417
male,vegetarian,walk/bicycle,70,3444
male,vegetarian,walk/bicycle,63,1641
female,pescatarian,private,2132,2886
male,omnivore,walk/bicycle,91,2537
female,vegan,private,185,572
male,omnivore,private,3674,4285
female,vegan,private,7643,1837
male,vegetarian,walk/bicycle,7,3280
female,vegan,private,3237,2721
female,omnivore,public,1254,3095
male,pescatarian,walk/bicycle,98,2537
male,omnivore,private,8451,5247
female,omnivore,walk/bicycle,84,2601
male,omnivore,public,1396,1895
male,pescatarian,public,1703,2189
male,pescatarian,private,1439,1089
female,vegetarian,walk/bicycle,30,1109
female,pescatarian,public,378,1328
male,vegan,walk/bicycle,92,2298
female,vegan,public,1007,1986
female,pescatarian,walk/bicycle,63,1381
female,vegetarian,walk/bicycle,60,1764
female,vegan,private,5498,4658
female,omnivore,private,8858,3875
female,pescatarian,public,879,1536
male,pescatarian,private,8590,3191
female,vegan,private,911,3129
male,vegan,walk/bicycle,35,2294
female,vegan,public,1096,2273
female,vegetarian,walk/bicycle,43,1266
female,omnivore,public,1491,2578
male,vegan,walk/bicycle,7,1513
male,pescatarian,private,5132,2445
male,vegetarian,walk/bicycle,94,1771
female,vegan,public,30,1335
female,vegan,walk/bicycle,56,808
female,pescatarian,private,9734,5444
male,omnivore,private,1092,2052
male,pescatarian,private,9363,5425
male,vegetarian,walk/bicycle,27,1100
female,pescatarian,walk/bicycle,24,2053
female,omnivore,private,4407,2922
female,omnivore,public,1468,2160
male,omnivore,private,5098,4963
male,omnivore,private,4055,2207
female,omnivore,private,352,1073
female,vegetarian,private,4273,2177
male,pescatarian,walk/bicycle,7,1613
female,pescatarian,private,1769,2519
female,vegetarian,walk/bicycle,43,1786
female,omnivore,private,6372,3529
female,vegan,public,1251,1311
female,omnivore,private,6063,2819
female,vegetarian,private,8744,3404
male,omnivore,private,1574,1721
female,pescatarian,public,1672,2188
female,omnivore,walk/bicycle,98,1802
male,vegan,private,7287,3613
female,vegan,walk/bicycle,29,2186
female,vegan,private,508,2676
female,pescatarian,private,1995,1183
male,vegan,private,1800,3579
female,pescatarian,walk/bicycle,98,1915
female,pescatarian,walk/bicycle,22,2370
female,omnivore,private,3913,5238
female,vegan,walk/bicycle,44,1022
female,pescatarian,public,1598,1074
female,omnivore,private,5677,4385
female,vegan,walk/bicycle,83,1618
male,pescatarian,private,667,1499
female,pescatarian,private,7330,3780
male,pescatarian,walk/bicycle,0,1873
male,pescatarian,walk/bicycle,66,2272
male,vegetarian,walk/bicycle,27,1599
female,pescatarian,public,1981,2310
male,vegetarian,private,5743,2817
male,vegan,public,1338,2091
female,pescatarian,walk/bicycle,90,2143
male,pescatarian,public,1182,3689
female,vegan,public,347,2133
female,omnivore,public,1286,1458
male,omnivore,private,2948,1903
male,omnivore,walk/bicycle,53,1594
male,pescatarian,private,2677,1594
male,vegetarian,public,626,1755
female,pescatarian,public,726,3399
female,vegetarian,public,48,1567
male,pescatarian,private,6711,2344
male,vegan,walk/bicycle,46,2790
female,vegetarian,walk/bicycle,88,2067
female,omnivore,walk/bicycle,85,2118
male,omnivore,walk/bicycle,82,2791
male,vegan,public,1972,2798
male,omnivore,public,1080,2861
female,vegetarian,private,9670,5411
male,omnivore,walk/bicycle,32,2310
male,vegan,walk/bicycle,99,2349
female,vegetarian,walk/bicycle,85,1302
male,vegan,private,9996,3538
female,vegan,private,6992,752
male,pescatarian,walk/bicycle,72,2160
female,pescatarian,private,4202,2799
male,vegan,private,5546,3804
female,pescatarian,public,1277,2214
male,vegetarian,walk/bicycle,65,2166
male,pescatarian,walk/bicycle,93,1966
male,pescatarian,public,263,1524
female,omnivore,private,8347,2789
female,vegetarian,public,1376,2499
male,omnivore,walk/bicycle,0,1687
female,omnivore,public,870,1450
female,omnivore,private,8216,2534
female,vegan,private,3627,2930
male,pescatarian,walk/bicycle,86,1194
male,vegetarian,public,376,2354
female,omnivore,public,820,2852
male,omnivore,private,4411,2992
male,vegan,walk/bicycle,68,1472
female,vegan,public,1777,1043
male,omnivore,public,1300,3671
male,vegetarian,private,5513,2774
female,vegan,public,644,1587
male,pescatarian,walk/bicycle,94,2467
female,vegetarian,private,6804,4231
male,vegetarian,walk/bicycle,54,1922
female,pescatarian,walk/bicycle,49,1506
male,pescatarian,walk/bicycle,53,2534
female,vegetarian,private,695,2005
female,omnivore,private,1652,1537
female,pescatarian,private,8271,2943
female,omnivore,public,1961,1414
male,vegetarian,private,885,3147
male,vegetarian,walk/bicycle,93,1505
female,vegan,private,5415,2796
male,pescatarian,public,390,2321
female,pescatarian,walk/bicycle,64,1396
female,omnivore,public,30,1284
male,vegan,private,1776,2238
female,omnivore,public,815,3218
male,pescatarian,private,217,3142
male,omnivore,private,9469,5462
female,vegan,walk/bicycle,77,2357
female,vegan,public,1669,2465
male,vegetarian,walk/bicycle,94,2881
male,omnivore,public,847,2432
female,vegetarian,private,6811,2725
female,omnivore,private,779,3464
male,omnivore,walk/bicycle,85,3475
male,vegan,walk/bicycle,76,1279
male,vegan,private,1992,3265
male,pescatarian,walk/bicycle,15,2434
male,omnivore,walk/bicycle,35,2142
female,pescatarian,walk/bicycle,1,1593
male,omnivore,walk/bicycle,60,1850
female,pescatarian,walk/bicycle,69,2077
female,vegan,private,5914,2837
male,vegetarian,public,733,1279
female,vegan,walk/bicycle,47,1586
female,vegan,public,605,1609
female,vegetarian,public,614,2552
female,vegan,walk/bicycle,49,1778
male,vegetarian,public,1669,1991
male,vegetarian,walk/bicycle,40,1687
male,vegetarian,public,378,586
female,omnivore,walk/bicycle,66,1403
male,vegetarian,walk/bicycle,48,1263
female,vegetarian,private,6066,3685
male,vegetarian,private,5869,3537
male,vegan,public,586,2826
female,pescatarian,private,8886,4545
female,vegetarian,walk/bicycle,73,2998
male,pescatarian,public,1416,1423
female,omnivore,private,574,1000
male,omnivore,walk/bicycle,23,1968
female,vegetarian,public,1256,759
male,pescatarian,walk/bicycle,24,1955
female,pescatarian,private,6393,1543
female,vegetarian,walk/bicycle,91,1888
female,vegetarian,walk/bicycle,65,1382
male,omnivore,walk/bicycle,57,1476
male,vegan,public,1077,1083
male,vegetarian,walk/bicycle,88,2098
male,vegan,walk/bicycle,26,2375
male,vegetarian,walk/bicycle,4,3153
male,omnivore,private,599,1534
female,vegetarian,public,1560,2230
female,vegetarian,private,8667,2890
male,omnivore,walk/bicycle,44,2348
female,vegan,walk/bicycle,50,1511
male,vegan,public,1155,2937
male,omnivore,public,1927,2464
male,vegetarian,public,1225,2183
female,vegan,walk/bicycle,97,2259
male,omnivore,public,774,2269
male,omnivore,private,7684,3747
male,pescatarian,walk/bicycle,30,2167
male,omnivore,walk/bicycle,27,1829
male,vegetarian,private,5781,4933
female,pescatarian,private,7427,2369
female,omnivore,private,3436,4040
female,vegan,public,1197,2794
female,vegetarian,private,6130,2617
male,vegetarian,public,952,1948
male,vegetarian,private,5351,1374
female,vegan,public,233,1438
female,vegan,public,1960,1877
female,pescatarian,public,465,2262
male,vegetarian,walk/bicycle,23,1250
male,pescatarian,private,8052,3589
female,vegan,public,1934,2053
female,vegan,walk/bicycle,61,1630
male,omnivore,private,8304,4464
male,vegetarian,public,1529,2449
female,omnivore,public,1878,2107
female,vegan,public,438,699
male,vegetarian,private,9872,1052
male,vegan,private,6741,5005
female,omnivore,private,1568,2450
female,vegan,public,866,1539
male,vegetarian,private,4240,3831
female,vegan,walk/bicycle,24,2556
female,vegetarian,public,1550,2317
male,vegetarian,private,3477,1681
female,pescatarian,private,3514,2542
male,pescatarian,public,1601,2207
female,omnivore,walk/bicycle,86,1605
female,vegetarian,private,9258,4270
female,pescatarian,public,1328,1901
male,vegetarian,walk/bicycle,92,1875
male,omnivore,walk/bicycle,30,1234
male,pescatarian,private,2537,2029
female,omnivore,walk/bicycle,87,1555
male,vegan,walk/bicycle,20,1794
male,pescatarian,public,448,1767
female,vegetarian,public,668,1474
female,pescatarian,walk/bicycle,16,2109
female,omnivore,private,7878,3180
female,vegan,private,7510,1024
male,omnivore,private,9513,3953
male,omnivore,walk/bicycle,15,2306
female,vegan,public,593,2176
male,omnivore,public,146,2114
male,omnivore,walk/bicycle,76,2940
male,vegetarian,private,7191,2479
male,omnivore,walk/bicycle,74,2164
male,pescatarian,private,6425,3586
female,vegan,private,4684,3600
female,vegan,private,2217,1914
male,vegan,private,8713,4887
female,omnivore,public,614,1110
male,vegetarian,private,2703,1575
female,pescatarian,private,7491,3312
male,omnivore,private,5944,3367
female,pescatarian,walk/bicycle,17,1999
female,vegetarian,private,1824,1651
male,pescatarian,public,580,2325
male,vegan,walk/bicycle,60,2106
male,omnivore,walk/bicycle,87,1341
male,vegetarian,private,7874,4663
female,pescatarian,public,1318,877
male,pescatarian,private,2851,2901
female,omnivore,private,9486,3656
male,pescatarian,walk/bicycle,96,1393
male,omnivore,walk/bicycle,25,1596
male,vegan,public,583,2923
male,vegetarian,private,5497,3308
female,pescatarian,walk/bicycle,10,1511
female,omnivore,private,9629,1103
male,vegan,private,9072,3877
male,vegan,walk/bicycle,89,1242
male,omnivore,private,9318,4617
male,vegetarian,public,963,2096
male,omnivore,private,1308,1737
female,vegetarian,walk/bicycle,28,1433
female,omnivore,walk/bicycle,3,2175
male,vegan,public,1962,2838
male,omnivore,private,1020,2994
female,omnivore,walk/bicycle,71,1384
female,vegetarian,private,7107,1687
female,vegan,public,911,1874
male,vegan,public,1488,1444
female,pescatarian,walk/bicycle,44,1411
male,vegan,private,7375,2545
female,vegetarian,public,842,1621
female,vegan,public,1656,1851
female,vegetarian,public,1686,1383
male,vegan,walk/bicycle,69,1633
female,vegan,public,737,2694
female,vegan,private,6260,4009
male,pescatarian,private,3271,2696
female,vegan,private,8754,3959
male,vegetarian,walk/bicycle,15,2404
female,vegetarian,private,8731,5346
female,vegetarian,public,1572,2059
male,vegetarian,public,1004,1373
male,omnivore,private,9936,4914
male,vegetarian,walk/bicycle,87,1526
male,omnivore,walk/bicycle,10,1615
female,vegetarian,walk/bicycle,8,1107
male,vegan,walk/bicycle,73,925
male,pescatarian,public,643,2548
male,pescatarian,public,343,1986
female,omnivore,walk/bicycle,60,1448
